_id,app_name,raw_text,created_at,rating,engagement,clean_content
6a1588bf9c71b62293d445a7,GoPay,kereen pelayanannya gercep..salam buat mantan istri saya yg JD Manager di Gojek namanya Yuni Savitri 😍😍,2026-05-18T09:18:10.000Z,5,0,kereen pelayanannya gercepsalam buat mantan istri saya yg jd manager di gojek namanya yuni savitri
6a1588bf9c71b62293d445a8,GoPay,memudahkan untuk segala pembayaran,2026-05-18T09:18:02.000Z,5,0,memudahkan untuk segala pembayaran
6a1588bf9c71b62293d445a9,GoPay,Good job,2026-05-18T09:10:07.000Z,5,0,good job
6a1588bf9c71b62293d445aa,GoPay,baik,2026-05-18T09:05:35.000Z,5,0,baik
6a1588bf9c71b62293d445ab,GoPay,sukses selalu transaksi nya lancar jaya,2026-05-18T08:56:19.000Z,5,0,sukses selalu transaksi nya lancar jaya
6a1588bf9c71b62293d445ac,GoPay,"asli mantap ini peroduk baik,, pokoknya terbaik lah😁",2026-05-18T08:53:44.000Z,5,0,asli mantap ini peroduk baik pokoknya terbaik lah
6a1588bf9c71b62293d445ad,GoPay,mudah lancar bagus,2026-05-18T08:53:26.000Z,5,0,mudah lancar bagus
6a1588bf9c71b62293d445ae,GoPay,mantap bebas biaya admin,2026-05-18T08:50:23.000Z,5,0,mantap bebas biaya admin
6a1588bf9c71b62293d445af,GoPay,"saya sudah mengisi saldo gopay dan disitu tertulis Saldo sudah dipindahkan ke gopay tabungan tetapi saldo tabungan belum juga bertambah ,ini sudah mau 2 hari tetapi belum juga masuk saya sudah menghubungi cs dan mengirim masalah ini di Gmail gopay tetapi sampai saat ini belum di proses juga🥵",2026-05-18T08:39:42.000Z,1,0,saya sudah mengisi saldo gopay dan disitu tertulis saldo sudah dipindahkan ke gopay tabungan tetapi saldo tabungan belum juga bertambah ini sudah mau 2 hari tetapi belum juga masuk saya sudah menghubungi cs dan mengirim masalah ini di gmail gopay tetapi sampai saat ini belum di proses juga
6a1588bf9c71b62293d445b0,GoPay,ok banget,2026-05-18T08:32:26.000Z,5,0,ok banget
6a1588bf9c71b62293d445b1,GoPay,mantap apknya,2026-05-18T08:30:09.000Z,5,0,mantap apknya
6a1588bf9c71b62293d445b2,GoPay,"setiap pembaruan tiba"" eror oke no hp oke gogle tetap tidak bisa tolong d perbaiki lagi ..saya hbis isi saldo malah eror",2026-05-18T08:27:32.000Z,2,0,setiap pembaruan tiba eror oke no hp oke gogle tetap tidak bisa tolong d perbaiki lagi saya hbis isi saldo malah eror
6a1588bf9c71b62293d445b3,GoPay,"baru instal apk , sdh masukin saldo mau kirim uang ke teman malah gk bisa , disuruh pke ktp tp dipencet2 gk mau",2026-05-18T08:19:12.000Z,3,0,baru instal apk  sdh masukin saldo mau kirim uang ke teman malah gk bisa  disuruh pke ktp tp dipencet2 gk mau
6a1588bf9c71b62293d445b4,GoPay,ok trimakasih,2026-05-18T08:15:43.000Z,5,0,ok trimakasih
6a1588bf9c71b62293d445b5,GoPay,100% saya suka dengan gopey,2026-05-18T08:10:58.000Z,5,0,100 saya suka dengan gopey
6a1588bf9c71b62293d445b6,GoPay,APLIKASI INI SANGAT MEMBANTU DAN MEMPERMUDAH AKTIVITAS ANDA,2026-05-18T08:09:35.000Z,4,0,aplikasi ini sangat membantu dan mempermudah aktivitas anda
6a1588bf9c71b62293d445b7,GoPay,baik,2026-05-18T08:02:11.000Z,5,0,baik
6a1588bf9c71b62293d445b8,GoPay,mantap,2026-05-18T07:59:06.000Z,5,0,mantap
6a1588bf9c71b62293d445b9,GoPay,saya beri 5 b nya,2026-05-18T07:58:24.000Z,5,0,saya beri 5 b nya
6a1588bf9c71b62293d445ba,GoPay,baik,2026-05-18T07:58:01.000Z,1,0,baik
6a1588bf9c71b62293d445bb,GoPay,baik,2026-05-18T07:57:40.000Z,5,0,baik
6a1588bf9c71b62293d445bc,GoPay,Setiap pembayaran QRIS loading terus. Sia-sia banget waktu 10 menit kemakan cuma untuk nunggu loading QRIS,2026-05-18T07:55:31.000Z,1,0,setiap pembayaran qris loading terus siasia banget waktu 10 menit kemakan cuma untuk nunggu loading qris
6a1588bf9c71b62293d445bd,GoPay,Alhamdulillah pakai gopay transaksi jadi lancar..,2026-05-18T07:52:47.000Z,5,0,alhamdulillah pakai gopay transaksi jadi lancar
6a1588bf9c71b62293d445be,GoPay,saya sangat senang,2026-05-18T07:48:32.000Z,5,0,saya sangat senang
6a1588bf9c71b62293d445bf,GoPay,sangt bagus transaksi jdi mudah,2026-05-18T07:46:52.000Z,5,0,sangt bagus transaksi jdi mudah
6a1588bf9c71b62293d445c0,GoPay,"Mantap, top banget",2026-05-18T07:44:35.000Z,5,0,mantap top banget
6a1588bf9c71b62293d445c1,GoPay,bagus sekali,2026-05-18T07:42:02.000Z,5,0,bagus sekali
6a1588bf9c71b62293d445c2,GoPay,baik,2026-05-18T07:41:34.000Z,5,0,baik
6a1588bf9c71b62293d445c3,GoPay,cucom,2026-05-18T07:35:33.000Z,5,0,cucom
6a1588bf9c71b62293d445c4,GoPay,banyak promo,2026-05-18T07:33:02.000Z,5,0,banyak promo
6a1588bf9c71b62293d445c5,GoPay,ok,2026-05-18T07:31:31.000Z,5,0,ok
6a1588bf9c71b62293d445c6,GoPay,"Kenapa setiap buka gopay selalu log out, jadi mesti login terus kalo mau pake, aplikasi nya emg gini atau gimana sih, di suruh clear cache tetep ga ngaruh, udah di instal ulang pun sama masalahnya",2026-05-18T07:26:19.000Z,1,0,kenapa setiap buka gopay selalu log out jadi mesti login terus kalo mau pake aplikasi nya emg gini atau gimana sih di suruh clear cache tetep ga ngaruh udah di instal ulang pun sama masalahnya
6a1588bf9c71b62293d445c7,GoPay,terbaik,2026-05-18T07:20:42.000Z,5,0,terbaik
6a1588bf9c71b62293d445c8,GoPay,sangat membantu sekali,2026-05-18T07:14:20.000Z,5,0,sangat membantu sekali
6a1588bf9c71b62293d445c9,GoPay,mantap guys,2026-05-18T07:11:07.000Z,5,0,mantap guys
6a1588bf9c71b62293d445ca,GoPay,keren,2026-05-18T07:10:54.000Z,5,0,keren
6a1588bf9c71b62293d445cb,GoPay,luar biasa,2026-05-18T07:10:27.000Z,5,0,luar biasa
